year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m,in_tule,utm_x_m,utm_y_m,along_fault_m,r_proj_m,dist_to_fault_m,d_euclid_ref_m,t_days_since_rain
2025,5,9,8,20,57.74,2025-05-09 08:20:57.740,1361,23.007102,-109.764795,11.232,1.9,236.7,124.5,175.3,267.4455832501258,True,626585.927915118,2544839.3158903085,-285.9601090803164,393.65302103964336,393.65302103964336,486.55512016508914,237.34789050925923
2025,5,9,8,21,13.41,2025-05-09 08:21:13.410,1362,23.002751,-109.760197,11.058,2.2,165.5,125.8,153.0,207.88431879292867,True,627061.2646585617,2544361.5611494803,377.05248111612514,272.7856669178734,272.7856669178734,465.3822016274955,237.348071875
2025,5,9,9,52,14.11,2025-05-09 09:52:14.110,1363,22.998431,-109.755265,12.017,1.9,113.6,96.1,98.9,148.79573246568597,True,627570.8372271055,2543887.54313054,1056.3891321709866,121.59373781393288,121.59373781393288,1063.3640184078704,237.4112744212963
2025,5,9,10,49,19.25,2025-05-09 10:49:19.250,1366,23.009349,-109.76189,11.38,1.8,163.2,105.8,108.1,194.493907359588,True,626881.568064001,2545090.611131272,-325.45132151707134,7.65711445169174,7.65711445169174,325.5413861230772,237.45091724537036
2025,5,9,11,9,18.25,2025-05-09 11:09:18.250,1367,23.00356,-109.760409,11.721,1.8,167.8,119.2,114.3,205.828763781936,True,627038.7780582651,2544450.9481598623,290.6626799140844,240.65333014935464,240.65333014935464,377.35768020117433,237.4647945601852
2025,5,9,11,50,31.01,2025-05-09 11:50:31.010,1370,23.004995,-109.762004,11.706,1.9,162.3,107.4,105.2,194.61770217531603,True,626873.9557832151,2544608.4467632575,67.48884358050867,287.1896729390637,287.1896729390637,295.01296963130403,237.4934144675926
2025,5,9,19,40,50.16,2025-05-09 19:40:50.160,1376,22.999567,-109.758317,12.296,1.7,145.3,104.3,106.5,178.85910656156148,True,627256.9433261929,2544010.666194951,777.0527009385016,310.4318383298765,310.4318383298765,836.7668888553652,237.82002500000002
2025,5,9,23,56,1.84,2025-05-09 23:56:01.840,1380,23.000909,-109.760132,11.688,1.7,133.4,101.3,108.4,167.50298504802834,True,627069.6517172155,2544157.6751828436,549.7870166611988,381.42548638695746,381.42548638695746,669.1421114791299,237.99724351851853
2025,5,10,2,22,30.6,2025-05-10 02:22:30.600,1383,23.001143,-109.758773,11.522,1.8,186.6,128.9,131.9,226.7923499591642,True,627208.7266705077,2544184.76182703,606.2894254577961,251.49086156859468,251.49086156859468,656.3798601986952,238.0989652777778
2025,5,10,2,25,23.44,2025-05-10 02:25:23.440,1384,23.001375,-109.758521,11.51,1.7,198.2,129.1,132.0,236.53762914174987,True,627234.3385213101,2544210.6670840085,599.461338207069,215.70781439355346,215.70781439355346,637.090069923754,238.10096574074075
2025,5,10,9,6,11.08,2025-05-10 09:06:11.080,1387,22.999123,-109.759285,11.431,2.0,127.5,99.2,106.6,161.54531871892792,True,627158.1406003262,2543960.6675189715,762.2512698698067,420.17136574239726,420.17136574239726,870.3855323981231,238.3792949074074
2025,5,10,11,18,25.62,2025-05-10 11:18:25.620,1389,23.007251,-109.782674,11.644,1.7,149.2,112.6,96.2,186.92083885966272,True,624753.3260804281,2544840.4817961697,-1325.52558553776,1902.869527709019,1902.869527709019,2319.036549388294,238.4711298611111
2025,5,10,12,47,59.55,2025-05-10 12:47:59.550,1390,23.004004,-109.761344,11.765,1.8,146.6,100.9,104.8,177.96732846227704,True,626942.5292929224,2544499.296825338,196.28048189875062,292.5514898575154,292.5514898575154,352.2959009018664,238.533328125
2025,5,10,13,3,48.28,2025-05-10 13:03:48.280,1391,23.00614,-109.761222,12.012,1.8,167.0,106.3,103.6,197.9613346085543,True,626953.0351085196,2544735.89587965,7.301001391548979,149.8061200206558,149.8061200206558,149.98392652868685,238.54430879629632
2025,5,10,13,19,56.15,2025-05-10 13:19:56.150,1392,23.005707,-109.765609,11.752,1.8,186.0,121.2,118.2,222.003243219553,True,626503.7994844333,2544684.1617506184,-204.674192859654,549.2502125756417,549.2502125756417,586.1461603023076,238.55551099537035
2025,5,10,15,23,11.25,2025-05-10 15:23:11.250,1393,23.00624,-109.761873,11.615,1.7,182.2,115.4,108.2,215.67104580819372,True,626886.2182300641,2544746.4039115272,-39.2242030925067,198.90112310835326,198.90112310835326,202.73182996758675,238.64110243055555
2025,5,10,16,11,26.09,2025-05-10 16:11:26.090,1395,22.999422,-109.756673,11.861,1.5,114.3,111.3,109.4,159.5373937357634,True,627425.5873477106,2543996.0401165993,884.6800560599225,179.77549293789207,179.77549293789207,902.7613358198554,238.67460752314815
2025,5,10,16,13,59.74,2025-05-10 16:13:59.740,1396,23.000232,-109.758537,12.376,2.3,118.6,100.0,99.1,155.13207276382275,True,627233.770173711,2544084.1026363457,703.4154489560699,287.90494238051554,287.90494238051554,760.0543070578558,238.6763858796296
2025,5,10,16,29,30.73,2025-05-10 16:29:30.730,1397,22.999898,-109.758512,12.059,1.8,114.3,100.0,101.5,151.86997728320102,True,627236.6457637296,2544047.1445587487,735.4948466919707,306.48129182060234,306.48129182060234,796.7957402913688,238.68716122685186
2025,5,10,16,45,46.1,2025-05-10 16:45:46.100,1398,23.000346,-109.758968,12.244,1.8,111.9,98.5,100.4,149.07669167244086,True,627189.4866201915,2544096.350467345,668.227316113435,317.4487705610122,317.4487705610122,739.79826164358,238.6984502314815
2025,5,10,16,48,38.89,2025-05-10 16:48:38.890,1399,23.005314,-109.763534,11.534,1.8,185.3,121.0,138.4,221.30768174647713,True,626716.841325288,2544642.4421486673,-49.562607391356494,397.36951203976474,397.36951203976474,400.4484750253776,238.70045011574075
